name,description,authors,input_args,input_named_args,output_args,output_named_args,param_args,param_named_args
transdecoder predict,Predict the likely coding regions from the ORFs identified by Transdecoder.LongOrfs. Optionally include results from homology searches (blast/hmmer results) as ORF retention criteria.,N. Tessa Pierce,0,0,0,0,0,0
transdecoder longorfs,"TransDecoder.LongOrfs will identify coding regions within transcript sequences (ORFs) that are at least 100 amino acids long. You can lower this via the '-m' parameter, but know that the rate of false positive ORF predictions increases drastically with shorter minimum length criteria.",N. Tessa Pierce,0,0,0,0,0,0
umis bamtag,Convert a BAM/SAM with fastqtransformed read names to have UMI and,Patrik Smeds,0,0,0,0,0,0
bismark2summary,"Generate summary graphical HTML report from several Bismark text report files reports (see https://github.com/FelixKrueger/Bismark/blob/master/bismark2summary).
",Roman Cherniatchik,0,0,0,0,0,0
bam2nuc,"Calculate mono- and di-nucleotide coverage of the reads and compares them with average genomic sequence
composition (see https://github.com/FelixKrueger/Bismark/blob/master/bam2nuc).
",Roman Cherniatchik,0,0,0,0,0,0
bismark,"Align BS-Seq reads using Bismark (see https://github.com/FelixKrueger/Bismark/blob/master/bismark).
",Roman Cherniatchik,0,0,0,0,0,0
bismark2bedGraph,"Generate bedGraph and coverage files from positional methylation files created by bismark_methylation_extractor (see https://github.com/FelixKrueger/Bismark/blob/master/bismark2bedGraph).
",Roman Cherniatchik,0,0,0,0,0,0
bismark2report,"Generate graphical HTML report from Bismark reports (see https://github.com/FelixKrueger/Bismark/blob/master/bismark2report).
",Roman Cherniatchik,0,0,0,0,0,0
bismark_genome_preparation,"Generate indexes for Bismark (see https://github.com/FelixKrueger/Bismark/blob/master/bismark_genome_preparation).
",Roman Cherniatchik,0,0,0,0,0,0
bismark_methylation_extractor,"Call methylation counts from Bismark alignment results (see https://github.com/FelixKrueger/Bismark/blob/master/bismark_methylation_extractor).
",Roman Cherniatchik,0,0,0,0,0,0
deduplicate_bismark,"Deduplicate Bismark Bam Files and saves as *.bam file (see https://github.com/FelixKrueger/Bismark/blob/master/deduplicate_bismark).
",Roman Cherniatchik,0,0,0,0,0,0
minimap2 index,creates a minimap2 index,Tom Poorten,0,0,0,0,0,0
minimap2,A versatile pairwise aligner for genomic and spliced nucleotide sequences https://lh3.github.io/minimap2,Tom Poorten,0,0,0,0,0,0
fgbio CallMolecularConsensusReads,Calls consensus sequences from reads with the same unique molecular tag.,Patrik Smeds,0,0,0,0,0,0
fgbio CollectDuplexSeqMetrics,Collects a suite of metrics to QC duplex sequencing data.g.,Patrik Smeds,0,0,0,0,0,0
fgbio GroupReadsByUmi,Groups reads together that appear to have come from the same original molecule.,Patrik Smeds,0,0,0,0,0,0
fgbio AnnotateBamWithUmis,"Annotates existing BAM files with UMIs (Unique Molecular Indices, aka Molecular IDs, Molecular barcodes) from a separate FASTQ file.",Patrik Smeds,0,0,0,0,0,0
fgbio FilterConsensusReads,Filters consensus reads generated by CallMolecularConsensusReads or CallDuplexConsensusReads.,Patrik Smeds,0,0,0,0,0,0
fgbio SetMateInformation,"Adds and/or fixes mate information on paired-end reads. Sets the MQ (mate mapping quality), MC (mate cigar string), ensures all mate-related flag fields are set correctly, and that the mate reference and mate start position are correct.",Patrik Smeds,0,0,0,0,0,0
paladin prepare,Download and prepare uniprot refs for paladin mapping. PALADIN is a protein sequence alignment tool designed for the accurate functional characterization of metagenomes.,N. Tessa Pierce,0,0,0,0,0,0
paladin align,Align nucleotide reads to a protein fasta file (that has been indexed with paladin index). PALADIN is a protein sequence alignment tool designed for the accurate functional characterization of metagenomes.,N. Tessa Pierce,0,0,0,0,0,0
paladin index,Index a protein fasta file for mapping with paladin. PALADIN is a protein sequence alignment tool designed for the accurate functional characterization of metagenomes.,N. Tessa Pierce,0,0,0,0,0,0
sambamba sort,Sort bam file with sambamba,Johannes Köster,0,0,0,0,0,0
varscan mpileup2snp,Detect variants in NGS data from Samtools mpileup,Thibault Dayris,0,0,0,0,0,0
varscan somatic,Varscan Somatic calls variants and identifies their somatic status (Germline/LOH/Somatic) using pileup files from a matched tumor-normal pair.,Thibault Dayris,0,0,0,0,0,0
varscan mpileup2indel,Detect indel in NGS data from mpileup files,Thibault Dayris,0,0,0,0,0,0
busco,"Assess assembly and annotation completeness with BUSCO 
",Tessa Pierce,0,0,0,0,0,0
snpeff,Annotate predicted effect of nucleotide changes with SnpEff,Bradford Powell,0,0,0,0,0,0
bwa mem samblaster,"Map reads using bwa mem, mark duplicates by samblaster and sort and index by sambamba.",Christopher Schröder,0,0,0,0,0,0
bwa sampe,Map paired-end reads with bwa sampe.,Julian de Ruiter,0,0,0,0,0,0
bwa samse,Map single-end reads with bwa samse.,Julian de Ruiter,0,0,0,0,0,0
bwa index,Creates a BWA index.,Patrik Smeds,0,0,0,0,0,0
bwa mem,"Map reads using bwa mem, with optional sorting using samtools or picard.",Johannes Köster Julian de Ruiter,0,0,0,0,0,0
bwa aln,Map reads with bwa aln.,Julian de Ruiter,0,0,0,0,0,0
Strelka germline,Call germline variants with Strelka.,Jan Forster,0,0,0,0,0,0
Strelka,"Strelka calls somatic and germline small variants from mapped sequencing reads
",Thibault Dayris,0,0,0,0,0,0
trimmomatic se,Trim single-end reads with trimmomatic. (De)compress with pigz.,Johannes Köster Jorge Langa,0,0,0,0,0,0
trimmomatic pe,Trim paired-end reads with trimmomatic. (De)compress with pigz.,Johannes Köster Jorge Langa,0,0,0,0,0,0
plass,Plass (Protein-Level ASSembler) is software to assemble short read sequencing data on a protein level. The main purpose of Plass is the assembly of complex metagenomic datasets.,N. Tessa Pierce,0,0,0,0,0,0
star,Map reads with STAR.,Johannes Köster Tomás Di Domenico,0,0,0,0,0,0
STAR Index,Index fasta sequences with STAR,Thibault Dayris Tomás Di Domenico,0,0,0,0,0,0
SnpSift varType,Add an INFO field denoting variant type.,Thibault Dayris,0,0,0,0,0,0
hmmbuild,hmmbuild: construct profile HMM(s) from multiple sequence alignment(s),N Tessa Pierce,0,0,0,0,0,0
hmmpress,Format an HMM database into a binary format for hmmscan.,N Tessa Pierce,0,0,0,0,0,0
hmmscan,search protein sequence(s) against a protein profile database,N Tessa Pierce,0,0,0,0,0,0
hmmsearch,search profile(s) against a sequence database,N Tessa Pierce,0,0,0,0,0,0
trim_galore-se,"Trim unpaired reads using trim_galore.
",Kerrin Mendler,0,0,0,0,0,0
trim_galore-pe,"Trim paired-end reads using trim_galore.
",Kerrin Mendler,0,0,0,0,0,0
filtlong,Quality filtering tool for long reads.,Michael Hall,0,0,0,0,0,0
epic,"Find broad enriched domains in ChIP-Seq data with epic
",Endre Bakken Stovner,0,0,0,0,0,0
sourmash_compute,"Build a MinHash signature for a transcriptome, genome, or reads 
",Lisa K. Johnson,0,0,0,0,0,0
RUBIC,"`RUBIC <http://ccb.nki.nl/software/rubic/doc/>`_
detects recurrent copy number alterations using copy number breaks.
",Beatrice F. Tan,0,0,0,0,0,0
ngs-disambiguate,"Disambiguation algorithm for reads aligned to two species (e.g. human
and mouse genomes) from Tophat, Hisat2, STAR or BWA mem.
",Julian de Ruiter,0,0,0,0,0,0
coverageBed,Returns the depth and breadth of coverage of features from B on the intervals in A.,Patrik Smeds,0,0,0,0,0,0
bedtools intersect,Intersect BED/BAM/VCF files with bedtools.,Jan Forster,0,0,0,0,0,0
bedtools merge,Merge entries in one or multiple BED/BAM/VCF/GFF files with bedtools.,Jan Forster,0,0,0,0,0,0
bedtools slop,Increase the size of each feature in a BED/BAM/VCF by a specified factor.,Jan Forster,0,0,0,0,0,0
delly,Call variants with delly.,Johannes Köster,0,0,0,0,0,0
refgenie,Deploy biomedical reference datasets via refgenie.,Johannes Köster,0,0,0,0,0,0
gatk CombineGVCFs,"Run gatk CombineGVCFs.
",Johannes Köster Jake VanCampen,0,0,0,0,0,0
gatk VariantFiltration,"Run gatk VariantFiltration.
",Johannes Köster Jake VanCampen,0,0,0,0,0,0
gatk VariantRecalibrator,"Run gatk VariantRecalibrator.
",Johannes Köster Jake VanCampen,0,0,0,0,0,0
gatk GenotypeGVCFs,"Run gatk GenotypeGVCFs.
",Johannes Köster Jake VanCampen,0,0,0,0,0,0
gatk SplitNCigarReads,"Run gatk SplitNCigarReads.
",Jan Forster,0,0,0,0,0,0
gatk HaplotypeCaller,"Run gatk HaplotypeCaller.
",Johannes Köster Jake VanCampen,0,0,0,0,0,0
GATK Mutect2,Call somatic SNVs and indels via local assembly of haplotypes,Thibault Dayris,0,0,0,0,0,0
gatk SelectVariants,"Run gatk SelectVariants.
",Johannes Köster Jake VanCampen,0,0,0,0,0,0
gatk BaseRecalibrator,"Run gatk BaseRecalibrator and ApplyBQSR in one step.
",Johannes Köster Jake VanCampen,0,0,0,0,0,0
fastqc,"Generate fastq qc statistics using fastqc.
",Julian de Ruiter,0,0,0,0,0,0
pindel,Call variants with pindel.,Johannes Köster,0,0,0,0,0,0
pindel2vcf,Convert pindel output to vcf.,Johannes Köster,0,0,0,0,0,0
kallisto quant,Pseudoalign reads and quantify transcripts using kallisto.,Joël Simoneau,0,0,0,0,0,0
kallisto index,Index a transcriptome using kallisto.,Joël Simoneau,0,0,0,0,0,0
samtools bam2fq interleaved,"Convert a bam file back to unaligned reads in a single fastq file with samtools. For paired end reads, this results in an unsorted interleaved file.",David Laehnemann Victoria Sack,0,0,0,0,0,0
samtools bam2fq separate,"Convert a bam file with paired end reads back to unaligned reads in a two separate fastq files with samtools. Reads that are not properly paired are discarded (READ_OTHER and singleton reads in samtools bam2fq documentation), as are secondary (0x100) and supplementary reads (0x800).",David Laehnemann Victoria Sack,0,0,0,0,0,0
samtools fixmate,Use samtools to correct mate information after BWA mapping.,Thibault Dayris,0,0,0,0,0,0
samtools sort,Sort bam file with samtools.,Johannes Köster,0,0,0,0,0,0
samtools merge,Merge two bam files with samtools.,Johannes Köster,0,0,0,0,0,0
samtools mpileup,Generate pileup using samtools.,Patrik Smeds,0,0,0,0,0,0
samtools faidx,index reference sequence in FASTA format from reference sequence,Michael Chambers,0,0,0,0,0,0
samtools view,Convert or filter SAM/BAM.,Johannes Köster,0,0,0,0,0,0
samtools index,Index bam file with samtools.,Johannes Köster,0,0,0,0,0,0
samtools flagstat,Use samtools to create a flagstat file from a bam or sam file.,Christopher Preusch,0,0,0,0,0,0
samtools stats,Generate stats using samtools.,Julian de Ruiter,0,0,0,0,0,0
pyfastaq replace_bases,Replaces all occurrences of one letter with another.,Michael Hall,0,0,0,0,0,0
snp-mutator,Generate mutated sequence files from a reference genome.,Michael Hall,0,0,0,0,0,0
jannovar,Annotate predicted effect of nucleotide changes with Jannovar,Bradford Powell,0,0,0,0,0,0
sra-tools fasterq-dump,Download FASTQ files from SRA.,Johannes Köster,0,0,0,0,0,0
lofreq call,simply call variants,Patrik Smeds,0,0,0,0,0,0
clustalo,Multiple alignment of nucleic acid and protein sequences.,Michael Hall,0,0,0,0,0,0
gatk3 IndelRealigner,"Run gatk3 IndelRealigner
",Patrik Smeds,0,0,0,0,0,0
gatk3 RealignerTargetCreator,"Run gatk3 RealignerTargetCreator
",Patrik Smeds,0,0,0,0,0,0
gatk3 BaseRecalibrator,"Run gatk3 BaseRecalibrator.
",Patrik Smeds,0,0,0,0,0,0
gatk3 PrintReads,"Run gatk3 PrintReads
",Patrik Smeds,0,0,0,0,0,0
ensembl-variation,"Download known genomic variants from ENSEMBL FTP servers, and store them in a single .vcf.gz file.",Johannes Köster,0,0,0,0,0,0
ensembl-sequence,"Download sequences (e.g. genome) from ENSEMBL FTP servers, and store them in a single .fasta file.",Johannes Köster,0,0,0,0,0,0
ensembl-annotation,"Download annotation of genomic sites (e.g. transcripts) from ENSEMBL FTP servers, and store them in a single .gtf or .gff3 file.",Johannes Köster,0,0,0,0,0,0
freebayes,Call small genomic variants with freebayes.,Johannes Köster,0,0,0,0,0,0
fastp,trim and QC fastq reads with fastp,Sebastian Kurscheid (sebastian.kurscheid@anu.edu.au),0,0,0,0,0,0
salmon_quant,"Quantify transcripts with salmon 
",Tessa Pierce,0,0,0,0,0,0
salmon_index,"Index a transcriptome assembly with salmon 
",Tessa Pierce,0,0,0,0,0,0
cairosvg,Convert SVG files with cairosvg.,Johannes Köster,0,0,0,0,0,0
